datetime,portfolio_value,cash,return
2020-06-01 09:30:00-04:00,100000.0,100000.0,
2020-06-02 09:30:00-04:00,100000.0,100000.0,0.0
2020-06-03 09:30:00-04:00,100000.0,100000.0,0.0
2020-06-04 09:30:00-04:00,100000.0,100000.0,0.0
2020-06-05 09:30:00-04:00,100000.0,100000.0,0.0
2020-06-06 09:30:00-04:00,100000.0,100000.0,0.0
2020-06-08 09:30:00-04:00,100000.0,100000.0,0.0
2020-06-09 09:30:00-04:00,100000.0,100000.0,0.0
2020-06-10 09:30:00-04:00,100000.0,100000.0,0.0
2020-06-11 09:30:00-04:00,100000.0,100000.0,0.0
2020-06-12 09:30:00-04:00,100000.0,100000.0,0.0
2020-06-13 09:30:00-04:00,100000.0,100000.0,0.0
2020-06-15 09:30:00-04:00,100000.0,100000.0,0.0
2020-06-16 09:30:00-04:00,97066.71630859375,150067.35815429688,-0.02933283691406252
2020-06-17 09:30:00-04:00,97066.71630859375,97066.71630859375,0.0
2020-06-18 09:30:00-04:00,97066.71630859375,97066.71630859375,0.0
2020-06-19 09:30:00-04:00,97066.71630859375,97066.71630859375,0.0
2020-06-20 09:30:00-04:00,97066.71630859375,97066.71630859375,0.0
2020-06-22 09:30:00-04:00,97066.71630859375,97066.71630859375,0.0
2020-06-23 09:30:00-04:00,96197.71630859375,145729.134765625,-0.008952605311559947
2020-06-24 09:30:00-04:00,96774.41534423828,145729.134765625,0.005994934784049777
2020-06-25 09:30:00-04:00,97780.8745727539,145729.134765625,0.010400054858874963
2020-06-26 09:30:00-04:00,98426.4751586914,24948.074279785156,0.006602524151664735
2020-06-27 09:30:00-04:00,98426.4751586914,24948.074279785156,0.0
2020-06-29 09:30:00-04:00,97286.4751586914,24948.074279785156,-0.011582249574232928
2020-06-30 09:30:00-04:00,97905.67193603516,24948.074279785156,0.006364674805349191
2020-07-01 09:30:00-04:00,99244.87603759766,24948.074279785156,0.013678513972483985
2020-07-02 09:30:00-04:00,100365.67193603516,24948.074279785156,0.011293236922507832
2020-07-03 09:30:00-04:00,100365.67193603516,24948.074279785156,0.0
2020-07-06 09:30:00-04:00,100876.87310791016,24948.074279785156,0.00509338663323855
2020-07-07 09:30:00-04:00,100639.27545166016,24948.074279785156,-0.0023553233653053063
2020-07-08 09:30:00-04:00,100454.47076416016,24948.074279785156,-0.0018363078099540298
2020-07-09 09:30:00-04:00,100989.6734008789,24948.074279785156,0.005327813014666782
2020-07-10 09:30:00-04:00,100382.47369384766,24948.074279785156,-0.006012493026103405
2020-07-11 09:30:00-04:00,100382.47369384766,24948.074279785156,0.0
2020-07-13 09:30:00-04:00,101779.27545166016,24948.074279785156,0.013914797139514157
2020-07-14 09:30:00-04:00,100140.07135009766,24948.074279785156,-0.01610548016075275
2020-07-15 09:30:00-04:00,102326.4751586914,24948.074279785156,0.021833455669807877
2020-07-16 09:30:00-04:00,101697.6763305664,24948.074279785156,-0.006145025782915314
2020-07-17 09:30:00-04:00,102199.27545166016,24948.074279785156,0.004932257443752253
2020-07-18 09:30:00-04:00,102199.27545166016,24948.074279785156,0.0
2020-07-20 09:30:00-04:00,102091.27252197266,24948.074279785156,-0.001056787626039335
2020-07-21 09:30:00-04:00,103296.07720947266,24948.074279785156,0.01180125056469139
2020-07-22 09:30:00-04:00,102856.87310791016,24948.074279785156,-0.004251895264830274
2020-07-23 09:30:00-04:00,103300.8745727539,24948.074279785156,0.004316692228996111
2020-07-24 09:30:00-04:00,101976.07720947266,24948.074279785156,-0.0128246480851254
2020-07-25 09:30:00-04:00,101976.07720947266,24948.074279785156,0.0
2020-07-27 09:30:00-04:00,102139.27545166016,24948.074279785156,0.0016003581099934827
2020-07-28 09:30:00-04:00,102331.27252197266,24948.074279785156,0.0018797575121174415
2020-07-29 09:30:00-04:00,102256.87310791016,24948.074279785156,-0.0007270447462336405
2020-07-30 09:30:00-04:00,102204.0728149414,24948.074279785156,-0.0005163495749868074
2020-07-31 09:30:00-04:00,103164.0728149414,24948.074279785156,0.009392972056390114
2020-08-01 09:30:00-04:00,103164.0728149414,24948.074279785156,0.0
2020-08-03 09:30:00-04:00,103744.87603759766,24948.074279785156,0.005629898149698942
2020-08-04 09:30:00-04:00,103634.47076416016,24948.074279785156,-0.0010641997721168028
2020-08-05 09:30:00-04:00,104500.8745727539,24948.074279785156,0.00836018944474004
2020-08-06 09:30:00-04:00,104503.65728759766,12352.214233398438,2.662862732139004e-05
2020-08-07 09:30:00-04:00,105004.05389404297,12352.214233398438,0.0047883166908522234
2020-08-08 09:30:00-04:00,105004.05389404297,12352.214233398438,0.0
2020-08-10 09:30:00-04:00,105498.8935546875,12352.214233398438,0.004712576727217144
